UF;Município;Cargo;Candidato;Nr;Partido;Situação;VotaçãoNominal
MG;ABADIA DOS DOURADOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2678,00 
MG;ABADIA DOS DOURADOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1613,00 
MG;ABAETÉ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;7384,00 
MG;ABAETÉ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5868,00 
MG;ABRE CAMPO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2886,00 
MG;ABRE CAMPO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4836,00 
MG;ACAIACA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;849,00 
MG;ACAIACA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1538,00 
MG;AÇUCENA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3941,00 
MG;AÇUCENA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1353,00 
MG;ÁGUA BOA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5247,00 
MG;ÁGUA BOA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1575,00 
MG;ÁGUA COMPRIDA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;732,00 
MG;ÁGUA COMPRIDA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;782,00 
MG;AGUANIL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;693,00 
MG;AGUANIL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1854,00 
MG;ÁGUAS FORMOSAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6197,00 
MG;ÁGUAS FORMOSAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3002,00 
MG;ÁGUAS VERMELHAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1981,00 
MG;ÁGUAS VERMELHAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3798,00 
MG;AIMORÉS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6229,00 
MG;AIMORÉS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7223,00 
MG;AIURUOCA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1801,00 
MG;AIURUOCA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1698,00 
MG;ALAGOA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;980,00 
MG;ALAGOA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;669,00 
MG;ALBERTINA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1006,00 
MG;ALBERTINA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;679,00 
MG;ALÉM PARAÍBA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;13815,00 
MG;ALÉM PARAÍBA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6919,00 
MG;ALFENAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;18473,00 
MG;ALFENAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;22827,00 
MG;ALFREDO VASCONCELOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1166,00 
MG;ALFREDO VASCONCELOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2688,00 
MG;ALMENARA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4209,00 
MG;ALMENARA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;14070,00 
MG;ALPERCATA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1461,00 
MG;ALPERCATA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2770,00 
MG;ALPINÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3548,00 
MG;ALPINÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7347,00 
MG;ALTEROSA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4506,00 
MG;ALTEROSA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4028,00 
MG;ALTO CAPARAÓ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;893,00 
MG;ALTO CAPARAÓ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1935,00 
MG;ALTO JEQUITIBÁ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1911,00 
MG;ALTO JEQUITIBÁ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3279,00 
MG;ALTO RIO DOCE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4033,00 
MG;ALTO RIO DOCE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2903,00 
MG;ALVARENGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1177,00 
MG;ALVARENGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1755,00 
MG;ALVINÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6862,00 
MG;ALVINÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2195,00 
MG;ALVORADA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;315,00 
MG;ALVORADA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1731,00 
MG;AMPARO DO SERRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2264,00 
MG;AMPARO DO SERRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;849,00 
MG;ANDRADAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;13259,00 
MG;ANDRADAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;8009,00 
MG;ANDRELÂNDIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3522,00 
MG;ANDRELÂNDIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3371,00 
MG;ANGELÂNDIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1464,00 
MG;ANGELÂNDIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2282,00 
MG;ANTÔNIO CARLOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1973,00 
MG;ANTÔNIO CARLOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4830,00 
MG;ANTÔNIO DIAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2388,00 
MG;ANTÔNIO DIAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3533,00 
MG;ANTÔNIO PRADO DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;727,00 
MG;ANTÔNIO PRADO DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;538,00 
MG;ARAÇAÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;860,00 
MG;ARAÇAÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;799,00 
MG;ARACITABA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;934,00 
MG;ARACITABA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;432,00 
MG;ARAÇUAÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;10804,00 
MG;ARAÇUAÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6689,00 
MG;ARAGUARI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;28108,00 
MG;ARAGUARI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;34878,00 
MG;ARANTINA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;411,00 
MG;ARANTINA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1426,00 
MG;ARAPONGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3610,00 
MG;ARAPONGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;690,00 
MG;ARAPORÃ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2437,00 
MG;ARAPORÃ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1959,00 
MG;ARAPUÁ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1336,00 
MG;ARAPUÁ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;705,00 
MG;ARAÚJOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1554,00 
MG;ARAÚJOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2999,00 
MG;ARAXÁ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;26279,00 
MG;ARAXÁ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;26409,00 
MG;ARCEBURGO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2032,00 
MG;ARCEBURGO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3239,00 
MG;ARCOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;12847,00 
MG;ARCOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;9035,00 
MG;AREADO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2802,00 
MG;AREADO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5796,00 
MG;ARGIRITA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1450,00 
MG;ARGIRITA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;642,00 
MG;ARICANDUVA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;833,00 
MG;ARICANDUVA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1879,00 
MG;ARINOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5927,00 
MG;ARINOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2658,00 
MG;ASTOLFO DUTRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2667,00 
MG;ASTOLFO DUTRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5607,00 
MG;ATALÉIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1431,00 
MG;ATALÉIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5740,00 
MG;AUGUSTO DE LIMA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1973,00 
MG;AUGUSTO DE LIMA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;859,00 
MG;BAEPENDI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5933,00 
MG;BAEPENDI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5657,00 
MG;BALDIM;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1254,00 
MG;BALDIM;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3441,00 
MG;BAMBUÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7910,00 
MG;BAMBUÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5341,00 
MG;BANDEIRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;593,00 
MG;BANDEIRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1940,00 
MG;BANDEIRA DO SUL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1750,00 
MG;BANDEIRA DO SUL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1967,00 
MG;BARÃO DE COCAIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;10329,00 
MG;BARÃO DE COCAIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5377,00 
MG;BARÃO DE MONTE ALTO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1621,00 
MG;BARÃO DE MONTE ALTO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2136,00 
MG;BARBACENA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;47108,00 
MG;BARBACENA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;22956,00 
MG;BARRA LONGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2294,00 
MG;BARRA LONGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1408,00 
MG;BARROSO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4235,00 
MG;BARROSO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7852,00 
MG;BELA VISTA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1409,00 
MG;BELA VISTA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4153,00 
MG;BELMIRO BRAGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1504,00 
MG;BELMIRO BRAGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;685,00 
MG;BELO HORIZONTE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;651989,00 
MG;BELO HORIZONTE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;662232,00 
MG;BELO ORIENTE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;8847,00 
MG;BELO ORIENTE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3695,00 
MG;BELO VALE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2174,00 
MG;BELO VALE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3181,00 
MG;BERILO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1189,00 
MG;BERILO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4476,00 
MG;BERIZAL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;903,00 
MG;BERIZAL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1677,00 
MG;BERTÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;645,00 
MG;BERTÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1739,00 
MG;BETIM;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;64704,00 
MG;BETIM;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;119740,00 
MG;BIAS FORTES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;728,00 
MG;BIAS FORTES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1742,00 
MG;BICAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4849,00 
MG;BICAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3213,00 
MG;BIQUINHAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;821,00 
MG;BIQUINHAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;980,00 
MG;BOA ESPERANÇA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;11229,00 
MG;BOA ESPERANÇA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;10775,00 
MG;BOCAINA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1640,00 
MG;BOCAINA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1542,00 
MG;BOCAIÚVA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;18665,00 
MG;BOCAIÚVA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4903,00 
MG;BOM DESPACHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;14906,00 
MG;BOM DESPACHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;11612,00 
MG;BOM JARDIM DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2612,00 
MG;BOM JARDIM DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1412,00 
MG;BOM JESUS DA PENHA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1074,00 
MG;BOM JESUS DA PENHA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1302,00 
MG;BOM JESUS DO AMPARO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1092,00 
MG;BOM JESUS DO AMPARO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2374,00 
MG;BOM JESUS DO GALHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3086,00 
MG;BOM JESUS DO GALHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5093,00 
MG;BOM REPOUSO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3850,00 
MG;BOM REPOUSO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2531,00 
MG;BOM SUCESSO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4741,00 
MG;BOM SUCESSO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5878,00 
MG;BONFIM;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2911,00 
MG;BONFIM;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1730,00 
MG;BONFINÓPOLIS DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2150,00 
MG;BONFINÓPOLIS DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1134,00 
MG;BONITO DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;478,00 
MG;BONITO DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3504,00 
MG;BORDA DA MATA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4620,00 
MG;BORDA DA MATA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5138,00 
MG;BOTELHOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4219,00 
MG;BOTELHOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5122,00 
MG;BOTUMIRIM;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;687,00 
MG;BOTUMIRIM;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2521,00 
MG;BRÁS PIRES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;884,00 
MG;BRÁS PIRES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1767,00 
MG;BRASILÂNDIA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1757,00 
MG;BRASILÂNDIA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5148,00 
MG;BRASÍLIA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3125,00 
MG;BRASÍLIA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;13550,00 
MG;BRAÚNAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1915,00 
MG;BRAÚNAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;825,00 
MG;BRAZÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3695,00 
MG;BRAZÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5754,00 
MG;BRUMADINHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6982,00 
MG;BRUMADINHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;10491,00 
MG;BUENO BRANDÃO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2526,00 
MG;BUENO BRANDÃO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3941,00 
MG;BUENÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3036,00 
MG;BUENÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1622,00 
MG;BUGRE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1158,00 
MG;BUGRE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1635,00 
MG;BURITIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6001,00 
MG;BURITIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5248,00 
MG;BURITIZEIRO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;9056,00 
MG;BURITIZEIRO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3820,00 
MG;CABECEIRA GRANDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1319,00 
MG;CABECEIRA GRANDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2249,00 
MG;CABO VERDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4133,00 
MG;CABO VERDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3191,00 
MG;CACHOEIRA DA PRATA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1124,00 
MG;CACHOEIRA DA PRATA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1388,00 
MG;CACHOEIRA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4212,00 
MG;CACHOEIRA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2582,00 
MG;CACHOEIRA DE PAJEÚ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2944,00 
MG;CACHOEIRA DE PAJEÚ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1506,00 
MG;CACHOEIRA DOURADA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;488,00 
MG;CACHOEIRA DOURADA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1194,00 
MG;CAETANÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2303,00 
MG;CAETANÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3251,00 
MG;CAETÉ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;14357,00 
MG;CAETÉ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;9042,00 
MG;CAIANA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1691,00 
